epoch,train,valid,test,id_loss,mm_loss
1,0.5221696919848049,0.0266,0.0263,40.17030519247055,80.42884039878845
2,0.3967893906993282,0.0562,0.0578,39.97241574525833,80.45652830600739
3,0.21967623870763292,0.0631,0.0652,39.07478874921799,80.56703531742096
4,0.16259108739820044,0.0648,0.0679,36.95057427883148,80.81675720214844
5,0.1448067596192285,0.0662,0.0694,33.94695156812668,81.18245506286621
6,0.1387832967258413,0.0679,0.0712,30.835119009017944,81.59626114368439
7,0.13807377441280697,0.0691,0.0724,28.081362545490265,82.17954921722412
8,0.13951041078653334,0.0707,0.0738,25.846686750650406,82.60947787761688
9,0.14395903638593027,0.0725,0.0752,24.054495364427567,83.03352355957031
10,0.1486562692098306,0.0743,0.0771,22.430701911449432,83.43165946006775
11,0.15357003951324047,0.0751,0.0781,21.065416604280472,83.87226045131683
12,0.15922265615583417,0.0766,0.0786,19.926919609308243,84.2678120136261
13,0.16580571522593773,0.0776,0.08,18.89944815635681,84.47025501728058
14,0.17120080713932728,0.0785,0.0806,17.88797453045845,84.95621287822723
15,0.1770302342645121,0.0791,0.0816,17.067912191152573,85.18162608146667
16,0.18339347496042524,0.0798,0.0826,16.32502391934395,85.37542068958282
17,0.18893733790920705,0.0802,0.083,15.67268618941307,85.85661244392395
18,0.19468401759042933,0.0814,0.0835,14.9413483440876,86.15171027183533
19,0.20013982998923244,0.0819,0.0844,14.360571444034576,86.45149981975555
20,0.2062062317192723,0.0827,0.0847,13.882816776633263,86.63581228256226
21,0.2116087721503158,0.0832,0.0855,13.312152460217476,86.86553359031677
22,0.2156691355274894,0.0839,0.0856,12.942679643630981,86.95996296405792
23,0.22080237265263403,0.0846,0.086,12.369774267077446,87.17793464660645
24,0.22598217792270667,0.084,0.0875,12.030880555510521,87.61593663692474
25,0.23211199249636394,0.0852,0.0878,11.578030571341515,87.69988310337067
26,0.23747679910735808,0.086,0.0882,11.281018897891045,88.07603740692139
27,0.2425444497274966,0.0862,0.0883,10.921050161123276,88.2970883846283
28,0.24736793775060667,0.0867,0.0895,10.572418987751007,88.54284429550171
29,0.2525648466754187,0.0868,0.0901,10.258719146251678,88.64551377296448
30,0.2581425387009032,0.0878,0.0901,9.960424154996872,88.73423409461975
31,0.26359398415904634,0.0875,0.0907,9.790054693818092,88.8357664346695
32,0.26892426172728773,0.0884,0.0909,9.348351523280144,89.13652420043945
33,0.274211353273556,0.0884,0.0912,9.177377685904503,89.38715922832489
34,0.2785738665697721,0.0885,0.0908,8.855396583676338,89.43035745620728
35,0.28371863273214515,0.0889,0.091,8.707175344228745,89.82466888427734
36,0.28851424766770056,0.0895,0.0913,8.484224885702133,89.90114605426788
37,0.2932240084714097,0.0894,0.0913,8.22150045633316,90.19766068458557
38,0.2987909718692747,0.0894,0.0915,8.081327125430107,90.16474688053131
39,0.3041108880566582,0.0892,0.0917,7.95580492913723,90.23274731636047
40,0.31003230578735697,0.0894,0.0922,7.690593667328358,90.50091671943665
41,0.3156347210531708,0.0896,0.0928,7.519963271915913,90.80916166305542
42,0.32005959253563737,0.0897,0.0927,7.283931128680706,91.02262473106384
43,0.32469409914181024,0.0895,0.0932,7.080057844519615,91.08380401134491
44,0.3289600485117278,0.0905,0.0933,6.9398528933525085,91.36198210716248
45,0.33409486291463103,0.0905,0.0933,6.8179227486252785,91.35817420482635
46,0.3386321134756083,0.0907,0.0934,6.584306865930557,91.512939453125
47,0.3432038444269896,0.0916,0.0939,6.539114445447922,91.62130761146545
48,0.3476687709173711,0.0914,0.0938,6.350964158773422,91.9249792098999
49,0.3523525105616402,0.092,0.0938,6.255167879164219,92.05275797843933
50,0.35750926874327027,0.0916,0.0941,6.177825011312962,92.21006178855896
51,0.3629937146187564,0.0915,0.0948,6.080179080367088,92.28129482269287
52,0.3676145813035364,0.0923,0.0947,5.944601356983185,92.56460058689117
53,0.37198186096050156,0.0932,0.0948,5.767477437853813,92.60205125808716
54,0.37723667402750544,0.0929,0.0942,5.6692106276750565,92.84036540985107
55,0.3828193144676893,0.0931,0.0951,5.593481786549091,92.7255859375
56,0.3860902055979204,0.093,0.0957,5.505472049117088,92.91933488845825
57,0.38999866849507425,0.0936,0.0951,5.369495026767254,93.05947589874268
58,0.39437005692136473,0.0931,0.0953,5.21472243219614,93.4808189868927
59,0.3994176596349479,0.0929,0.0952,5.189413137733936,93.42111814022064
60,0.4053560570353682,0.0935,0.0951,5.154321476817131,93.5360472202301
61,0.4101243764338318,0.0932,0.095,5.015157073736191,93.78418254852295
62,0.41394657243889016,0.0937,0.0952,4.924650207161903,93.83684635162354
63,0.4180856788578362,0.0931,0.0954,4.7643492966890335,93.9883040189743
64,0.42307279257702013,0.0932,0.0956,4.766864895820618,93.9067155122757
