epoch,train,valid,test
1,0.5297393571260687,0.0294,0.0295
2,0.37640074349577735,0.06,0.0622
3,0.1967942410246147,0.0647,0.066
4,0.14758000549175157,0.0657,0.0686
5,0.13194490228222833,0.0666,0.0696
6,0.12878264478436777,0.0672,0.0695
7,0.12931215419166037,0.0695,0.0707
8,0.13129840987174363,0.0705,0.0721
9,0.1344292771880625,0.0727,0.074
10,0.13920917506081856,0.0736,0.0749
11,0.1437989662348933,0.0753,0.0761
12,0.14832873532017388,0.0764,0.0778
13,0.15456381788226808,0.078,0.0784
14,0.15955195173134562,0.0782,0.0799
15,0.1652357050924382,0.0789,0.0812
16,0.17232554664523536,0.0801,0.0817
17,0.17757383166563545,0.0811,0.0833
18,0.18383889349115695,0.0819,0.084
19,0.1883086899247075,0.0823,0.0849
20,0.19290377243406884,0.0825,0.0853
21,0.1978801590950638,0.0834,0.0862
22,0.20250126433329582,0.084,0.0864
23,0.20743201509114248,0.0844,0.0869
24,0.21216513373055412,0.0847,0.0878
25,0.2179102635990534,0.0852,0.0885
26,0.22264101553711188,0.0859,0.0891
27,0.22748343874047794,0.0856,0.0897
28,0.23223714203171203,0.0866,0.0893
29,0.23744174587478303,0.0863,0.0902
30,0.242121157029442,0.0869,0.0909
31,0.24713600572628727,0.087,0.0915
32,0.25145366626522725,0.0874,0.092
33,0.2561423245050141,0.0882,0.0919
34,0.26130482680266054,0.0884,0.0928
35,0.2666054625350548,0.0885,0.0925
36,0.2721363368761451,0.0889,0.0934
37,0.2769690672760912,0.0895,0.0929
38,0.28199947530795993,0.0895,0.0932
39,0.28719277140351795,0.089,0.0932
40,0.2923644203427335,0.0893,0.0939
41,0.29844533459758293,0.0899,0.094
42,0.30297500323930476,0.09,0.0949
43,0.3092994366246344,0.0904,0.0949
44,0.31375526669522613,0.0898,0.0951
45,0.3189099626450405,0.0905,0.0951
46,0.32382675645651193,0.0905,0.0951
47,0.32864551421577687,0.0909,0.0953
48,0.3338955985883662,0.0904,0.0955
49,0.33942725136703683,0.0901,0.0958
50,0.3444193966807422,0.0903,0.0959
51,0.34892302062156483,0.0902,0.096
52,0.3537427467195134,0.0912,0.0967
53,0.35763392861626947,0.0913,0.0961
54,0.3627831095869359,0.0913,0.0963
55,0.3678989511432486,0.0919,0.0964
56,0.3724322451696693,0.0918,0.0971
57,0.37672966319265877,0.0924,0.0972
58,0.3800765430139496,0.0919,0.0971
59,0.38546794676541607,0.0923,0.0972
60,0.3906214938920272,0.0922,0.0972
61,0.3952734965105908,0.0924,0.0974
62,0.39892694733693995,0.0923,0.0973
63,0.4031978686630159,0.0931,0.0974
64,0.4071247378423116,0.0925,0.0969
65,0.41210911133565825,0.0926,0.0973
66,0.4170636217034424,0.093,0.0969
